east;size;sales;investment
FALSE;4;157742;0
FALSE;125;4937140;37683
FALSE;60;2371375;231876
FALSE;53;2096902;32626
FALSE;3;118706;0
FALSE;26;1029356;14250
FALSE;5;197966;0
FALSE;5;198084;0
FALSE;21;832986;20324
FALSE;4;158732;0
FALSE;8;317684;0
FALSE;16;635884;0
FALSE;3;119278;0
FALSE;34;1351864;0
FALSE;4;159290;0
FALSE;2;79742;0
FALSE;11;438581;21098
FALSE;66;2631823;56832
FALSE;3;119790;26105
FALSE;5;199938;32802
FALSE;2;80024;0
FALSE;26;1040841;0
FALSE;16;640680;0
FALSE;204;8182057;203347
FALSE;2;80318;106461
FALSE;13;522859;125622
FALSE;56;2252410;1400127
FALSE;2;80483;0
FALSE;72;2901289;1723831
FALSE;26;1048866;99369
FALSE;6;242172;14200
FALSE;16;646089;228955
FALSE;2;80820;0
FALSE;11;444980;258632
FALSE;2;80924;2780
FALSE;1;40470;0
FALSE;6;242907;0
FALSE;9;364509;84334
FALSE;12;486081;3700
FALSE;5;202540;0
FALSE;2;81183;0
FALSE;135;5485155;2500000
FALSE;27;1098439;0
FALSE;1;40685;0
FALSE;2;81578;0
FALSE;4;163642;181076
FALSE;2;81856;
FALSE;7;286570;19719
FALSE;1;40969;0
FALSE;10;410426;90441
FALSE;15;615836;21316
FALSE;3;123169;0
FALSE;6;246535;0
FALSE;9;370995;0
FALSE;59;2435708;60358
FALSE;5;206692;0
FALSE;21;868777;11015
FALSE;2;82741;54364
FALSE;3;124265;6016
FALSE;3;124370;0
FALSE;27;1119496;9542
FALSE;13;540141;9764
FALSE;34;1413436;1962410
FALSE;8;332604;59334
FALSE;2;83204;0
FALSE;5;208013;0
FALSE;5;208338;4716
FALSE;23;958852;519664
FALSE;235;9797290;1121257
FALSE;4;166834;0
FALSE;3;125257;0
FALSE;3;125374;32854
FALSE;10;417980;25475
FALSE;8;334499;0
FALSE;3;125443;0
FALSE;150;6274361;965855
FALSE;20;837647;21349
FALSE;1;41917;0
FALSE;2;83861;0
FALSE;4;167835;0
FALSE;4;167939;36553
FALSE;158;6640642;4739
FALSE;2;84164;1019
FALSE;3;126423;0
FALSE;10;421512;3902
FALSE;94;3963321;751511
FALSE;5;210850;0
FALSE;170;7169553;0
FALSE;2;84366;0
FALSE;180;7602377;2000735
FALSE;92;3889017;36757
FALSE;6;253806;50997
FALSE;84;3553410;1091461
FALSE;15;634556;1034216
FALSE;183;7746338;152267
FALSE;15;636442;0
FALSE;40;1697682;393205
FALSE;58;2462356;218888
FALSE;7;297205;0
FALSE;4;169891;0
FALSE;125;5310074;141166
FALSE;84;3569862;280957
FALSE;5;212816;0
FALSE;2;85134;0
FALSE;2;85210;0
FALSE;72;3069227;236833
FALSE;28;1193714;320747
FALSE;6;256107;0
FALSE;2;85476;37729
FALSE;27;1154124;0
FALSE;3;128272;0
FALSE;3;128288;23455
FALSE;22;941987;121766
FALSE;16;685926;2705
FALSE;2;85802;19154
FALSE;3;128924;0
FALSE;4;172132;5153
FALSE;3;129375;0
FALSE;23;992804;28054
FALSE;1;43197;0
FALSE;31;1341480;31258
FALSE;27;1168747;240603
FALSE;8;346373;0
FALSE;2;86731;2936
